article,rating
The city government is planning to build a new sports stadium in preparation for the coming Olympics.,2
New computer technology has dramatically changed the way Hollywood movies are made,2
This proposal for a new high speed train will be rejected because the cost is too high,2
Aluminum has many desirable qualities which make it a commercially very useful metal,2
Ms. Chen took up her position as the new conductor of the National Orchestra only a few weeks before the fall concert season began,2
So far this year four typhoons ¡V two of them very strong ¡Vhave struck southern Taiwan,2
"Depending on the mood he is in, the boss will either thank you for your suggestion or fire you for criticizing his plan",2
"If a typist wishes to type rapidly, he must develop a rhythmic movement of his fingers. ",2
"During the experiment, a constant temperature of 28C was maintained while the amount of sunlight was gradually increased",2
Construction of the new highway system would have been completed on time if more workers had been hired.,2
"Mary is one of my best friends, but sometimes the way she keeps changing her mind gets on my nerves.",2
"Nepal , a small country located between Tibet and India, has a population of 11.3 million, most of whom are Mongol or Aryan.",2
Defensive drivers look in their driving mirrors frequently so that they know at all times if there are other vehicles or people nearby,2
"According to newspaper reports, flooding in the area near the river due to the storm has been much more serious than expected.",2
Flight 305 was supposed to depart at 3:30 p.m. but was cancelled because of a mechanical problem in one of the engines.,2
"Susan had a terrible day today. First she was woken up by a strange phone call at four o'clock this morning. When she was about to pick up the receiver, the phone stopped ringing. Then, she got up late and missed the company bus, so she was thirty minutes late for work, which made her boss very angry. What was worse, when she got home this afternoon, she couldn't open the door because she had left her keys at her office",2
"A growing number of people around the world enjoy using the Internet often. However, a recent study showed that excessive use of the Internet can actually lead to depression. It seems that as people devote more and more time to using the Internet ¡V    whether browsing for information, playing games or chatting with other people ¡V they spend less and less time with their families and friends. For many of these people, the result is that their most important relationships weaken, which can cause them to feel depressed.",2
"Because the beautiful lake country of central Canada has few roads but thousands of lakes and streams, it is best explored by canoe. All the lakes are connected to each other by trails, called portages, and most lakes have one or two camping areas to choose from. Visitors can start their journey on one lake, paddle their canoe across the lake to a portage and then carry it, along with their supplies, down the trail to the next lake. In this way, they can travel from lake to lake while they enjoy the fresh air, clean water and quiet surroundings of this beautiful area
",2
"Large animals have relatively smaller brains than small ones. As we move from small to large creatures, from mice to elephants or small lizards to komodo dragons, brain size increases, but not as fast as body size. In other words, bodies grow faster than brains, and large animals have low ratios of brain weight to body weight. In fact, brains grow only about two-thirds as fast as bodies. Since there is no reason to believe that large animals are consistently less intelligent than their smaller relatives, it must be concluded that large animals require relatively less brain to do as well as smaller animals. If this relationship is not recognized, the mental power of very large animals, such as dinosaurs, will be underestimated.",2
"Manners are the ways in which people behave in various situations with other people. If they behave properly, we say that they have good manners, and  if they behave badly, we say that they have bad manners. However, what are good manners in one society may be bad manners in another. For example, in one society, it may be good manners for an old man to open a door for a young woman because men should be polite to women in this way; on the other hand, in another society it may be better manners for a young woman to open a door for an old man because young people should be polite to old people in this way. So when you travel to another country, you should learn what are considered good manners there. If you use good manners, you will be a welcome visitor",2
"There are many smart people in the world, so how does an ordinary person achieve success? The rules are simple. First, learn self-discipline. Most of all, this involves patience, so don't expect too much too soon. Learning to handle people and get them to be the best they can be is also important. Don't look for glory for yourself, but make friends and give credit where credit is due.  Moreover, continue to learn more about your field.  Do extra research until you really know all about your subject. Likewise, develop abilities you already have, like a logical mind, or bargaining skills, so that you can use them effectively when needed. Also, keep your promises. If people can rely on you, you will earn their respect. Finally, if you fail once, don't quit. Use that opportunity to make yourself better and more determined to succeed.",2
"Don't miss this once-in-a-lifetime opportunity to own a high quality hand-woven carpet. In our warehouse you'll find hundreds of carefully-selected carpets imported direct from India, Iran and Afghanistan. Experts are on hand to answer your questions. Each carpet comes with a one-year guarantee against defects. If you are not completely satisfied with your purchase, your money will be cheerfully refunded. Monthly payments can be arranged. Take up to one year to pay. Don't delay! Remember ¡V sale ends July 30",2
"The problem of forgotten, spoiled food in the refrigerator has been the subject of previous memos. As the situation has not noticeably improved, it has been decided that the refrigerator will be regularly emptied and cleaned on the first and third Friday of every month. All food and drink items found in the refrigerator after 5:00 p.m. on those days will be tossed out by the maintenance staff. With regard to condiment items in the door of the refrigerator (ketchup, salad dressing, etc.), they may remain, but they must be labeled with the owner's name and the date of purchase. It is requested that the owners keep these containers clean. We regret any inconvenience which this causes
",2
"In public service lectures, fire fighters not only teach about fire prevention, escape plans, and the use of fire extinguishers, but also warn people never to go back into a burning building for any reason. Many people die each year from breathing smoke after rushing back into their homes to save valuables.  When people who have lost their homes in a fire are asked what items they most regret losing, most reply ""family photographs."" Baby pictures and photographs of weddings, friends, relatives and vacations are often impossible to replace. Fire fighters recommend that people make copies of their important photographs and documents and ask a friend to keep them for the family. An alternative is to keep photographs as well as other valuables in a safety deposit box at a bank",2
"After the police arrive, they will begin to interview the people who were in the jewelry store at the time of the robbery.",2
The first Sherlock Holmes story was written by a doctor named Arthur Conan Doyle in 1886,2
New computer technology has dramatically changed the way Hollywood movies are made,2
"In the four years from 1989 to 1992, the gross national product fell by an average of over 10% per year.",2
Aluminum has many desirable qualities which make it a commercially very useful metal.,2
"The original frame, which was made of gold, was soon replaced with a marble one before it could be stolen",2
The architect of the new five-star hotel received several awards for her elegant design,2
"If a typist wishes to type rapidly, he must develop a rhythmic movement of his fingers",2
Until recently it had been generally accepted that one of the greatest milestones in human history was the adoption of an agricultural lifestyle,2
Construction of the new highway system would have been completed on time if more workers had been hired.,2
Only by making fundamental changes will it be possible to bring the crisis to a close,2
"Even though the television networks claim there has been a decrease in the number of children watching television, research shows that children are actually watching more than before",2
" If you wanted to get students excited about the subject, you could take some time to plan some field trips that would really turn them on",2
The pilots will stay away from work next week unless a new agreement with the airline company can be signed,2
" Should someone oppose abortion for reasons of faith, he may be criticized for imposing his religious beliefs on others",2
"Susan had a terrible day today. First she was woken up by a strange phone call at four o'clock this morning. When she was about to pick up the receiver, the phone stopped ringing. Then, she got up late and missed the company bus, so she was thirty minutes late for work, which made her boss very angry. What was worse, when she got home this afternoon, she couldn't open the door because she had left her keys at her office.",2
"Countries that produce coffee have traditionally aged their coffee beans. Today, modern shipping practices are getting coffee to market faster and faster. As a result, consumers have acquired a taste for fresher coffee and therefore fresher beans.  This has caused a major shift in coffee bean storage procedures. In the past, coffee bean producers could store their beans in old warehouses without worrying about climate control or speed to market. Now, however, these considerations are key to the success of the coffee bean industry.",2
"The majority of public schools in the United States are co-educational; most schools teach boys and girls together in the same classes.  Some parents, however, believe that it is better for their children to be educated in single-sexed settings. Therefore, they send their children to private schools which separate boys from girls.  There is a concern among those who are opposed to co-education that the distractions of typical teenage issues, such as dating, might hold back the individual student's ability to learn. On the other hand, advocates of co-educational learning environments believe that it is better to educate our young in communities that reflect the realities of their future adulthood lives. They point out that whether students are educated in co-educational or single-sexed schools, both sexes will have to interact on a daily basis in the work place later in life",2
"Scotland Yard first began to use dogs for police work in 1946. At that time, they used only four dogs. Today, more than 300 police dogs are working in London. When a young dog is three months old, it goes to the home of a policeman. This person will be the dog's  ""handler."" The dog stays at its handler's home, lives with his family, and plays with the children. A handler must really know his dog.",2
"Manners are the ways in which people behave in various situations with other people. If they behave properly, we say that they have good manners, and if they behave badly, we say that they have bad manners. However, what are good manners in one society may be bad manners in another. For example, in one society, it may be good manners for an old man to open a door for a young woman because men should be polite to women in this way; on the other hand, in another society it may be better manners for a young woman to open a door for an old man because young people should be polite to old people in this way. So when you travel to another country, you should learn what are considered good manners there. If you use good manners, you will be a welcome visitor",2
"The Caribbean is a wonderful winter vacation area that is especially convenient for residents of Canada and colder parts of the U.S., who are only a short flight away. Located just south and east of Florida, the Caribbean is an area of many small nations. Tropical islands, crystal clear waters, long beaches, clean air and a delightful mix of cultures make it a great vacation destination for families. Historical sites, like Spanish forts, plantation houses, and shipwrecks, attract vacationers of all ages. Duty free shopping on some islands draws visitors looking for bargains. And on the beaches, sports like water skiing, sailing, snorkeling, and scuba diving keep vacationers busy and happy. Whether you prefer relaxation or activity, you'll enjoy a vacation in the Caribbean",2
"After several years of falling sales, Burger King is selling more food again.  Their problems began when another company from Britain bought their parent company, and British executives tried to run Burger King, a company that sells American food.  The British people at the top simply did not understand hamburgers and tried things like pizza and shrimp baskets. The higher management also failed to listen to the shop owners, who knew what was good and what was bad. Things changed in 1993. The unhappy shop owners got together to tell the management what was wrong, and since then, Burger King has returned to the basics: hamburgers, French fries, and drinks. The new president of the company, an American, also brought Burger King back by offering low-priced meals and a new hamburger that is similar to the McDonald's Big Mac.  In 1996, Burger King's share of the market grew from 18% to 19%, still far behind the competition, but the improvement has been continuous, and the British are letting Americans sell American food",2
"On a tiny island, just 5 1/2 miles long, you can live like royalty for just $130 a night...in Balfour Castle. Shapinsay, one of the seventy Orkney  Islands, is just a few hours by ferry off the northern coast of Scotland,  but staying at Balfour is like stepping back in time into a quieter, nobler world. The dozen or so guests who can be accommodated at the 150-year-old estate stay in oak-paneled rooms with 19th century furnishings and eat like kings around a long banquet table. (A big English breakfast and three- course dinner are included in the price.) During the day, you can hike  around the island on nearly empty roads, seeing more sheep and cows than people, the horizon of sea and clouds continually in view. Or take a leisurely stroll through the 700 acres of garden and woods on the estate grounds. On chilly Orkney evenings, sit in front of a roaring fireplace and read one of the 4,000 leather-bound books in the castle library. For a unique vacation experience, ferry across the North Sea to another world...at Balfour Castle. ",2
"In public service lectures, fire fighters not only teach about fire prevention, escape plans, and the use of fire extinguishers, but also warn people never to go back into a burning building for any reason. Many people die each year from breathing smoke after rushing back into their homes to save valuables. When people who have lost their homes in a fire are asked what items they most regret losing, most reply ""family photographs."" Baby pictures and photographs of weddings, friends, relatives and vacations are often impossible to replace. Fire fighters recommend that people make copies of their important photographs and documents and ask a friend to keep them for the family. An alternative is to keep photographs as well as other valuables in a safety deposit box at a bank",2
"Taroko Gorge, a well-known scenic spot, is located in Hualien",2
The committee went over the proposals for a second time,2
"In my opinion, it's important not to take sides in this kind of political dispute",2
The current economic recession is threatening the livelihoods of many people in the country,2
Yu-lin and her brothers gave their parents a big party in honor of their 50th wedding anniversary.,2
"Due to Typhoon Emerson, the price of vegetables has fluctuated greatly over the past few days",2
Don't be troubled by Amanda's frequent angry moods. It's just a manifestation of her illness,2
"Bruce read two film scripts; he didn¡¦t enjoy one, a comedy, but he did enjoy the other, a thriller",2
"When Paul and Ann were children, they would visit their cousins in Chicago from time to time",2
Never in my wildest dreams did I imagine that something like this would happen to me,2
Some of Curt Wilder¡¦s books have been widely read while others have remained relatively unknown,2
"Kuo-hwa, an optimist, is always cheerful, facing hardships with an eagerness to overcome them",2
"To our surprise, Tina was given permission to enter the third grade, although she hadn't passed the previous grade",2
I hope to do as much swimming this summer as I did last year,2
"The digital age is dawning, and that's good news for Asian companies. Already, a high percentage of the world's new digital products, such as DVD players and digital cameras, are being produced there, not only because manufacturing costs are lower there than in North America and Europe, but also because Asia has become a center for innovation. Japanese companies, of course, have long been admired for their ability to design and manufacture consumer products that incorporate the latest technology while offering the most-desired functions. Now other Asian countries like Korea and Taiwan are following its lead. With the worldwide demand for digital products growing at a furious pace, the future looks bright for the Asian companies that make them",2
"In gardens and forests around the world, there is more and more evidence that the earth's atmosphere is warming up.  In North America, many species of birds which used to fly south for the cold winter months are staying in the north instead.   A study of 77 gardens in Europe showed that flowers are blooming earlier and leaves are falling later.  In other words, as the atmosphere has gotten warmer, the growing season for vegetation has become a little bit longer each year.  On the European continent, summer is apparently eleven days longer than it was forty years ago. The 1990s were the warmest decade of the twentieth century, and the changes in air temperatures affected ocean temperatures as well.  Greenland's ice sheet has been melting rapidly, and high ocean temperatures are also damaging the coral reefs. Unfortunately, there is no evidence that global warming is either slowing down or coming to an end",2
"The ROC Air Force has purchased a new ""Air Force One,"" the popular name for the aircraft used by senior officials of the ROC, including the president and vice-president. Like the previous ""Air Force One,"" which was leased from China Airlines, the new aircraft is a Boeing 737-800, which is capable of carrying up to 189 passengers and costs around US$45 million. It differs from the earlier aircraft, however, in its on-board instrumentation, which includes an advanced radar system and state-of-the-art communications equipment. In the event of a crisis, these facilities will enable the president to remain in contact with armed forces commanders while he is on board ""Air Force One."" Two teams of ROC air force pilots will receive training in the US in using the new equipment before flying the aircraft back to Taiwan from there via Hawaii and Guam",2
"This is to confirm my resignation from the position of Good Morning Taiwan Editor, effective March 31, 2000. There are several reasons for my resignation, but to put it simply, I'm just too tired. To do my job well, I need to spend at least ten hours a day at the office, which leaves me no time for anything else. In light of this, I recently accepted a job at Let's Learn English Inc., where I will be editing textbooks for children. I will be working fewer hours a day, for almost as much as I am making at Formosa News. This will permit me time to pursue other interests, including night classes at one of the local universities. Regarding the salary at Formosa News, I feel it is reasonable, and in line with the industry standard. However, I believe that the company should consider creating a position for an assistant editor, as this job is really too much for one person. Finally, I would like to thank you for giving me the opportunity to work at Formosa News. I wish you all the very best in the future",2
"Over time, cacti literally reshaped themselves to fit their environment, by increasing their bulk and reducing the surface area they expose to the sun.  Cacti stopped bearing leaves; they could no longer afford to supply broad-surfaced appendages with water.  When the cacti dispensed with foliage, their stems and branches took over the leaves' work of manufacturing food.  By drawing energy from almost constant sunlight and moisture from their water-storing interior pulp, cacti can function all year round and flower even during lenghty droughts.  Many other adaptations help cacti survive in a harsh environment.  Their shallow, widespread root systems absorb maximum moisture in a region of brief rainstorms and thin quick-draining soil.  The waxy finish on their tough skins retards moisture loss, and their armament of sharp spines affords protection from sun, wind and from the depredations of hungry, thirsty desert creatures",2
"In any group of elderly people, it is common to see some women who are unable to stand completely upright.  Their backs and heads are bent forward slightly, as if they were carrying a heavy load.  This is usually a sign of a bone problem that has developed over a number of years, a problem called osteoporosis. Osteoporosis literally means porous bones¡Xbones that are filled with tiny holes.  Our bones are in a constant state of change, continuously broken down and rebuilt through the body's chemical processes.  Two kinds of cells are important in these processes: osteoclasts and osteoblasts.  Osteoclasts renew the old bone by dissolving or reabsorbing it; this leaves an empty space.  Osteoblasts then fill this empty space with new bone. When the rate of bone renewal doesn't equal the rate of breakdown, bone loss results.  When the bone loss becomes advanced, it is called osteoporosis.  The bones don't actually change shape with osteoporosis; rather, they become porous, and therefore are more likely to break.  Often the first sign of osteoporosis is a bone fracture following a minor fall or accident",2
"One of the largest youth organizations in the world is the 4-H, an organization of clubs for young people between 9 and 19.  The main purpose of 4-H is to provide young people with the practical skills and understanding they will need to become useful members of their communities.  The four H's stand for head, heart, hands, and health. When 4-H clubs first began in America in the early 1900s, members were mostly young people from rural areas.  The focus was on farm projects, such as raising pigs and growing and canning food.  Today over 75% of the club members come from towns, cities, and suburbs, and hundreds of projects exist, each adapted to its geographical area.  While rural districts abound in conservation, forestry, and farm management projects, projects in urban areas often involve nutrition, health, automotive care, and money management. The 4-H program in America is a joint service of the U.S. Department of Agriculture, state universities, and county governments.  Additional funding is provided by business firms and private organizations.  Members of the clubs are guided by volunteer adult leaders and their teenage assistants.  In the clubs, 4-H'ers learn about and work on solving serious problems that face their communities, issues like environmental protection and community safety. In addition to the 4-H clubs in the U.S. states and territories, more than eighty countries, including Taiwan, have adapted the 4-H idea to fit their own needs.  In the less developed countries, many clubs offer courses in proper nutrition and in new farming technology",2
Yangmingshan National Park can be approached by way of four major roads,2
The committee went over the proposals for a second time,2
The bookstore on the corner is known far and wide as the best place to buy foreign magazines,2
The current economic recession is threatening the livelihoods of many people in the country,2
"After driving for hours without a map, we finally wound up in a suburb of Kaohsiung",2
The captain had trouble navigating the narrow channel,2
"Since he turned thirteen, Jerry has been having loud arguments with his parents. Is this just typical teenage rebellion?",2
Fanny won't be promoted to a higher position in the company without more education,2
Don't you wish that ¡V just once ¡V we could see Michael Chang in person and get his autograph?,2
Never in my wildest dreams did I imagine that something like this would happen to me,2
"David often drives carelessly and exceeds the speed limit, yet he claims he¡¦s never had an accident",2
"Launched in 1965, the spacecraft Mariner 4 took photographs and analyzed the atmosphere of Mars as it flew by the red planet",2
The suspect confessed to the police that he had robbed the bank the previous night,2
I hope to do as much swimming this summer as I did last year,2
"In modern hospitals, the most popular treatment for bacterial infection is antibiotics.  While these medicines are generally highly effective in fighting the infection, one problem is that over a period of time bacteria begin to mutate¡Xchange their structure¡Xin order to resist the antibiotics.  Consequently as the human population consumes more antibiotics, the infection-producing bacteria become stronger and more resistant to the drugs. Another reason for the increased consumption of antibiotics is that doctors often  prescribe them to patients too freely.  Both doctors and patients prefer treatment providing fast relief, rather than allowing the body to battle the infection by itself. But unnecessary prescriptions are not the only source of antibiotics.  They have been increasingly used on farms, where chickens and pigs are frequently fed antibiotics to combat disease.  The result is that when the general public eats the meat products, they consume the animals'  antibiotic-resistant bacteria as well",2
"As you may have already noticed, the new copy machine has arrived. To avoid some of the problems we had with the old machine, we are asking employees to observe the following rules:  Notice that the new machine requires the use of a copy card. When you need to make a copy, please get your card from your department secretary. Please do not use cards that belong to other departments! To avoid having your card used by someone in another department, please give the card back to your department secretary when you are finished with it. Remember, your department will be charged for each copy made on its card. If there is a problem with the copy machine (the toner is gone, or the paper jams), please fix it; don't just leave it for the next person. If it is a problem you cannot fix, please notify Ms. Chang in Administration, and she will call a repairman. Personal copies cost NT$1 each; you will be charged at the end of the month. Sign them up in the notebook, and please be honest!",2
"Over time, cacti literally reshaped themselves to fit their environment, by increasing their bulk and reducing the surface area they expose to the sun.  Cacti stopped bearing leaves; they could no longer afford to supply broad-surfaced appendages with water.  When the cacti dispensed with foliage, their stems and branches took over the leaves' work of manufacturing food.  By drawing energy from almost constant sunlight and moisture from their water-storing interior pulp, cacti can function all year round and flower even during lenghty droughts.  Many other adaptations help cacti survive in a harsh environment.  Their shallow, widespread root systems absorb maximum moisture in a region of brief rainstorms and thin quick-draining soil.  The waxy finish on their tough skins retards moisture loss, and their armament of sharp spines affords protection from sun, wind and from the depredations of hungry, thirsty desert creatures",2
"For thousands of years, Chinese artists have used a material called lacquer to prevent the surfaces of objects made of wood or other materials from being damaged.  Many beautiful lacquer pieces can be found today in collections of Chinese art. The process of producing a lacquer piece, however, is both difficult and long.  To begin with, the original object must be made, perhaps a wooden bowl or vase with a design carved in its surface.  Meanwhile, farmers collect raw, liquid lacquer from lacquer trees, each of which can produce only a small amount.  After enough lacquer has been collected, a lacquer artist must then clean it by passing it through cloth and also beat it in order to remove excess water.  The original color of the lacquer is not attractive so the artist next adds some other material to change the color to red or black.  Now, the artist can put the first of many layers of lacquer onto the surface of the object.  After the first layer is dry, he must polish it and then apply the next layer.  When the last layer has been applied, the object will not only be beautiful, but also safeguarded against damage",2
"One animal which has become extinct was once probably the most numerous bird in North America:  the passenger pigeon.  The passenger pigeon bred in the eastern part of the U.S. and Canada and often migrated to the southern U.S. during the winter months.  The bird's name came not from the migrations but from its highly visible movements in search of food.  The passenger pigeons were social birds, traveling in amazingly large numbers that ranged from the millions to one or two billion.  Passing overhead on a broad front, a flock of birds could darken the sky as effectively as storm clouds for a period of hours. Passenger pigeons bred in huge colonies, and these colonies frequently covered many square miles.  A hundred or more pairs of pigeons often nested in the same tree, each female laying a single egg.  The birds lived mainly on wild seeds and nuts, but sometimes a flock would swoop down onto a field or a garden and eat everything in sight. While vast numbers of passenger pigeons were recorded in the late nineteenth century, the population declined rapidly, and the last wild bird was shot in 1904.  The swift disappearance of the bird remains a mystery, but a partial explanation is found in its habit of nesting and moving in a large flock.  Farmers, who considered them pests, found it easy to catch hundreds at a time in nets.  Also, as passenger pigeons were tasty game birds, market hunters shot hundreds of thousands on their nesting grounds.  By 1900 the passenger pigeon was already rare.",2
"Scientists from Stanford, Princeton, and U.C. Berkeley said in a recent report that vertebrates (animals with spinal cords) are becoming extinct at a rate not seen since the dinosaurs disappeared 65 million years ago in the 5th mass extinction. While the past five extinction events likely followed violent natural disasters, the current collapse in biodiversity is linked to human actions that have led to deforestation, pollution, global warming, and habitat loss. Animal species are currently disappearing at a rate 114 times faster than normal, which is more gradual pace than how the dinosaurs met their end. But Gerardo Ceballos, the report¡¦s lead author, warned that humans may actually be one of the earlier casualties this time around. With the destruction of fragile ecosystems, for example, pollinating bees could meet their demise in less than three human generations. Though not vertebrates, bees play a crucial role in our food supply. By some estimates, bees are responsible for pollinating over 400 different types of agricultural plants, and according to OneGreenPlanet.org, help produce US$19 billion worth of crops, or a third of what Americans eat each year.",2
"The most senior female executive of the world¡¦s largest automaker was arrested in Japan on June 18 for illegally importing the powerful painkiller oxycodone into the country. Toyota Motor President Akio Toyoda, grandson of the car company¡¦s founder Kiichiro Toyoda, was quick to defend Julie Hamp, saying the firm¡¦s global head of public relations ¡§had no intention to violate the law¡¨ when she had 57 tablets sent from Kentucky to a Tokyo hotel where she was staying. Indeed, oxycodone is legal with a doctor¡¦s prescription in both the U.S. and Japan. It is also legal to bring oxycodone into Japan with prior authorization, which Ms. Hamp did not obtain. Instead, the pills were sent in a package labeled ¡§necklaces.¡¨ The American executive was promoted in April as part of Toyoda¡¦s drive to increase diversity among its predominately male, Japanese executive ranks. It is unknown whether Ms. Hamp had legitimate medical reasons for the painkiller. It is also unknown if Ms. Hamp understood Japanese law regarding the transport of regulated medicine. It is clear, however, that an executive whose job description is to improve corporate image has actually succeeded in tarnishing it. The New York Times quoted a Japanese Ministry of Health official saying oxycodone ¡§is a narcotic, not a medicine.¡¨ As for Toyoda¡¦s diversity push, a Japanese reporter questioned whether promoting foreigners was wise considering the ¡§special risks¡¨ involved.
Adding insult to injury, Ms. Hamp has yet to be formally charged with a crime, and per Japanese proceedings, will likely remain in custody for weeks as formal charges are deliberated. If convicted, she could face a prison sentence of up to 10 years.
",2
