,Catagory,Content,Similar_Label
143,Business,"British Home Secretary Amber Rudd warned Facebook Inc, Alphabet Inc???s Google and Twitter Inc to improve monitoring of extremist and hate content after a panel of lawmakers urged her to consider making the hosting of such material a crime.A report from the British Parliament???s cross-party Home Affairs Committee, that was to be published yesterday, said the companies are ???shamefully far??? from having done enough to deal with illegal and dangerous content and was scornful of claims that there is little more they can do.It is ???shocking??? that Google???s YouTube subsidiary allows paid advertising to appear alongside videos created by terrorist groups, the panel said.The report comes days after the British government protested a decision by Twitter to stop letting security officials track terrorist-related posts.While Rudd stopped short of agreeing with the committee???s recommendation to look at legislation, lawmakers are becoming more confrontational with Internet giants.???We have made it very clear that we will not tolerate the Internet being used as a place for terrorists to promote their vile views, or use social media platforms to weaponize the most vulnerable people in our communities,??? Rudd said in an e-mailed statement. ???We will continue to push the internet companies to make sure they deliver on their commitments.???The committee???s inquiry was sparked by the murder of House of Commons lawmaker Jo Cox during the referendum campaign last year on leaving the EU. It examined online material and considered whether it might be encouraging hate crime.Among its conclusions were that YouTube is ???awash??? with racist material.It said the company refused to remove a video by Ku Klux Klan former grand wizard David Duke titled Jews admit organizing White Genocide, saying it ???did not cross the line into hate speech.???Twitter hosted ???significant numbers of racist and dehumanizing tweets that were plainly intended to stir up hatred,??? the panel said. The company removed many of them after the lawmakers complained, but it refused to delete a cartoon showing ???ethnic minority migrants tying up and abusing a semi-naked white woman, while stabbing her baby to death,??? because it did not breach its ???hateful conduct policy,??? the report said.Facebook had community pages ???devoted to stirring up hatred, particularly against Jews and Muslims,??? the panel said.The company removed some posts that the committee highlighted, but said the community pages were not violations.The report criticizes the companies for relying on others to report offensive material, ???outsourcing the vast bulk of their safeguarding responsibilities at zero expense.???It said that soccer teams are required to pay the costs of policing matches and urged the government to consult on whether Internet companies should have to pay the cost of policing their sites.???The major social media companies are big enough, rich enough and clever enough to sort this problem out ??? as they have proved they can do in relation to advertising or copyright,??? the report said. ???It is shameful that they have failed to use the same ingenuity to protect public safety and abide by the law as they have to protect their own income.???Facebook said it has ???quick and easy??? ways for users to report content and ???nothing is more important??? to the company than people???s safety.",1
144,Business,"As Nordea Bank AB tells Sweden it would move its headquarters from the largest Nordic economy unless the regulatory environment is relaxed, Finland and Denmark are stepping up their charm offensives.Danish Minister of Economic and Business Affairs Brian Mikkelsen on Friday made it clear he wants Nordea based in his country, and underscored his commitment to a stable regulatory environment in which banks and other companies do not face stricter requirements.???Of course we???re ready to welcome companies to Denmark that can contribute to growth and create jobs,??? Mikkelsen told reporters in an e-mail. ???Nordea can do that.???The bank represents ???thousands of jobs in an area that???s interesting to us, in the financial industry and fintech,??? he wroteOn Saturday, Finnish Minister of Finance Petteri Orpo said the administration has put together a working group to try to entice Nordea to Helsinki.If the bank chooses the Finnish capital, the Nordic region???s only global systemically important bank would be based in the eurozone.Speaking to state broadcaster YLE TV1, Orpo said Finland???s working group included his ministry, the central bank and the regulator, among others.???I believe that for Nordea, Finland, as a member of the banking union, would be an excellent platform for operations,??? he said.He also pledged a ???predictable and stable fiscal policy.??????Should this be successful and Nordea moves its headquarters into Finland, that would be a key signal that our policy is successful,??? Orpo said.???Finland is very serious about this,??? he said, adding that the working group is ???reviewing the matter from various perspectives.???Nordea chief executive officer Casper von Koskull said management plans to announce where to place its headquarters by the summer.There is a ???very high??? likelihood Nordea would move from Stockholm unless the Swedish government backtracks on its plans to raise the cost of banking in the country, he said.Sweden wants to increase bank fees to the country???s resolution reserve, with no cap on how big it can grow. The banking association calculates Sweden will have amassed 222 billion kronor (US$25.11 billion at current exchange rates) to deal with troubled lenders by 2032.That is 10 times more than it would have had if Sweden had used standard EU bank union rules.The Swedish government has said that it needs to create additional safeguards to protect taxpayers from a financial system that is about four times the size of the economy.If Nordea were to move to Denmark, the country???s regulator would be responsible for bank assets that would be more than five times the country???s GDP. In Finland, the regulatory burden would be shared within the single supervisory mechanism of the eurozone.",1
145,Business,"STOCKSEarnings report boosts SonySony Corp shares yesterday jumped to their highest since May 2015 after a bullish earnings report triggered analyst predictions that the electronics maker could achieve record profit this year. The Tokyo-based company rose 3 percent to ?¢D3,873 at the close in Tokyo after forecasting operating profit of ?¢D500 billion (US$4.47 billion) for the fiscal year through March next year, thanks to continued dominance in gaming and strong growth in smartphone-camera chips. While that was mostly in line with the ?¢D507 billion average estimate, analysts from Goldman Sachs Group Inc to Jefferies Group said Sony could surpass its previous record profit of ?¢D525.7 billion in 1998. ???We expect Sony to achieve its medium-term plan operating profit target for the first time in 10 years and believe it may surpass its record high,??? Goldman analysts Masaru Sugiyama and Yusuke Noguchi wrote in a note to clients.AIRLINESANA bullish on earningsJapan???s largest airline, ANA Holdings Inc, forecasts higher net income than rival Japan Airlines Co (JAL) this fiscal year, the first time, is expected to outperform its rival since JAL exited bankruptcy six years ago. ANA is increasing profit as it adds more international flights following an expansion at Tokyo Haneda Airport, while JAL was restricted in adding new routes until March this year. JAL was the world???s most profitable publicly traded airline in the fiscal year ended March 2014.REAL ESTATEAustralia price record setTech billionaire Scott Farquhar has bought a Sydney waterfront mansion for an Australian record of A$75 million (US$56.28 million), a report said yesterday, after the owners resisted selling the 1863-built home to developers. The co-founder of Australian software giant Atlassian, which floated in the US in late 2015, snapped up the iconic ???Elaine??? from John Brehmer Fairfax, whose family formerly owned the Sydney Morning Herald. The estate, which stretches down to a harbor beach in Sydney???s prestigious Point Piper, had been in the Fairfax family since 1891. Fairfax reportedly resisted larger offers from developers to subdivide the land. ???We???re thrilled with the purchase and honoured to take over the Elaine estate in its entirety from the Fairfax family,??? Farquhar, 37, told Fairfax Media.CANADAMortgage fears spreadThe escalation of Home Capital Group Inc???s distress last week has led one of its largest former investors to rethink ??? if only slightly ??? the prospects of troubles spreading through the rest of the nation. After the alternative-mortgage lender set up a C$2 billion (US$1.46 billion) credit line to offset a run on deposits, Mawer Investment Management Ltd chairman Jim Hall is recalculating the odds of a contagion widening across one of the world???s strongest financial systems. ???The probability has gone from infinitesimal to possible ??? unlikely, but possible,??? said Hall, chief investment officer of the Calgary-based money manager, in an interview on Saturday. ???If depositors or bondholders start to lose faith in their banks, well then that becomes systemic.??? Mawer, which oversees more than C$40 billion in assets, sold about 2.8 million shares, or a 4.3 percent stake, in Home Capital in the past week, joining another Calgary-based money manager, QV Investors Inc, in exiting its investment amid the imbroglio consuming the Toronto-based lender.",1
146,Editorials,"A media interview can be a double-edged sword. On one hand, it gives politicians a chance to explain their views; on the other hand, it can sometimes backfire and have the opposite effect. President Tsai Ing-wen???s (?????¡Ó???) interview with Reuters on Thursday has turned out to be an example of the latter.This was not due to any mistake by Tsai; instead, it was Reuters??? doing. There was nothing inappropriate or wrong in Tsai???s responses to the reporters??? questions. Always cautious, Tsai gave appropriate and concrete answers to their questions. She was forthcoming and direct, and displayed the views and bearing becoming of a president.She was not overbearing on the issue of relations between Taiwan, the US and China, and she gave voice to a Taiwanese identity without deliberately fawning on either the US or China. In short, her behavior was presidential and praiseworthy.The problem was the reporters??? hypothetical line of questioning.For example, the reporters asked Tsai: ???Will you hold further conversations with [US] President [Donald] Trump? Are you expecting to???????We are of course hoping that we will have the opportunity to communicate directly with the US government at critical moments and on critical issues, and do not rule out the opportunity for another telephone conversation with President Trump himself, but this will be dependent on the overall situation and on the US government???s concerns when it comes to handling the affairs of this region,??? Tsai said.This is both a balanced and relevant answer.However, the headline Reuters gave the report was: ???Exclusive: Taiwan president says phone call with Trump can take place again,??? and a Reuters reporter immediately asked Trump if he would call Tsai again.Trump, unaware of the interview with Tsai, brushed the question aside and said that he was addressing the North Korea issue with Chinese President Xi Jinping (?????????), and that he did not want to irritate Beijing with any other issues.Trump???s response was reasonable: North Korea is the issue that the US most urgently needs to resolve and it needs China???s help to do so.Another question posed by Reuters was: ???Will you directly rule out purchasing F-35 jets???????Our military purchases will be directed by our defense strategy needs, and we don???t rule out any item that would be meaningful to our strategy. The F-35 is indeed one such item,??? Tsai said.A Reuters reporter directly asked Trump whether the US would sell F-35s to Taiwan, since Taiwan wants to buy them. Trump said that he had not been notified, that he needed to think about it and that he had to confer with his team.Reuters??? handling of the report gave the impression that Tsai had suggested that a second telephone conversation with Trump should be organized, and that Trump had rejected the suggestion. However, the Chinese transcript of the interview on the Presidential Office???s Web site shows that Tsai only responded to the Reuters reporter???s question by saying that it would depend on the US government???s considerations, and that there were currently no such plans on either side.The purchase of F-35 jets is also a hypothetical issue that lacks any substance.Reuters had a great opportunity to interview Tsai, and several important issues were discussed during the interview. Too bad that all the good points have been drowned out by the furor over two non-issues.",1
147,Editorials,"The world that we live in is far different from that which experienced the Cold War mentality and ideological struggles at the end of World War II. At that time, the Allied powers had defeated the Axis alliance, and a new struggle appeared between communism and democracy.Ironically, however, even as that ideological struggle emerged, it was itself being subtly questioned in George Orwell???s Animal Farm. One of the basic points that Orwell was making and which is often lost in the allegory is that at the end of the story, the other farm animals found it difficult to distinguish between their previous capitalist rulers and the pigs that replaced them.This insight is what makes Thomas Piketty???s Capital in the Twenty-First Century all the more intriguing and worth re-examining from at least two perspectives. First is how capitalism, which contains many destructive seeds of humanity, can span ideology, and second, the highly important and slowly realized attention that this places on the burgeoning democracy of Taiwan.Piketty???s main thesis treats the growing problem of wealth and income inequality, which he found in Europe and the US since the 18th century, and how it threatens democracy.What Piketty does not delve into are those countries allegedly fashioned by Marxist communism, where the same wealth gaps and disparity hold true as well. Age-old desires for power and control remain the sought-after ends and unchecked capitalism has quickly supported this by creating new oligarchies in Russia and China.These two nations, along with the US, are the top three countries with the largest number of billionaires. The families and princelings of oligarchs have replaced the families of the czars and emperors in Russia and China.On the US side, capitalism appears to be returning to the past days of the robber barons. In short, oligarchies are becoming the new bloodlines of inherited power and the new despotism; this is a point that fits Orwell???s allegory.Unfortunately, oligarchies and privilege are the same the world over. A different book by business journalist Duff McDonald, The Firm: The Story of McKinsey and its Secret Influence on American Business, shows how this firm has become the ???godfather of CEO megapay??? in a leading democracy.This contributed to the new phrase: ???We are the 99 percent.???The truth of this slogan is increasingly becoming real. One can argue with Piketty over the means of determining wage gaps, but one does not need to be a rocket scientist to see the disparity in a country where its Congress and state electors argue over a minimum wage of US$15 for average citizens while CEO pay has skyrocketed to 500 times that of ordinary workers. This is the new ???Animal Farm.???Who can tame the new pigs? Transparency and a free press are essential to this and often lacking even in the US where the growing consciousness of the meaning and implications of who the ???99 percent??? are is taking hold.Transparency, transparency, transparency. For US citizens, those who put their faith in the blustering and boasting promises of US President Donald Trump, history states that they are asking to be disillusioned. There is a weasel quality about a man who now even seeks to hide who visits him in the White House and who refuses to honor his promise to show his tax returns.",1
148,Editorials,"On April 18 and 19, the so-called ???800 heroes??? and members of the Alliance to Supervise Pension Reform surrounded the Legislative Yuan building and physically assaulted government officials and innocent bystanders. They even broke two of Taoyuan Mayor Cheng Wen-tsan???s (?????????) ribs and then accused him of pretending to be injured.Of course, no one was willing to take responsibility for the action. This violates the principle of love and non-violent protest, which means demonstrators can use their bodies to promote their demands and public interests, but not harm innocent people.While the rallies called for the supervision of reforms, they were entirely aimed at protecting the private interests of the protesters.On April 19, lawmakers yielded and agreed to hold two more public hearings, although public hearings and preparations for the national congress on pension reform have been under way for a full year.These people continue to cause social costs with the sole purpose of highlighting and prolonging the focus on their demands.Moreover, the actions of the so-called ???800 heroes??? looked as if they were rallying in support of a certain Chinese Nationalist Party (KMT) chairperson candidate.Meanwhile, Chang An-lo (?????????) ??? or the ???White Wolf??? (??????) ??? mobilized his China Unification Promotion Party, with party member Lee Cheng-lung (?????????) ??? who decapitated a bronze statue of Japanese engineer Yoichi Hatta in Tainan ??? shouting slogans on a truck: ???With ???one country, two systems??? and peaceful reunification, the pension system will not go bankrupt; with ???one country, two systems??? and peaceful reunification, you do not have to pay for health insurance.???Not only was there no one there to stop them, but there were also reports that former Penghu deputy chief of staff Tsai Ting-hsi (?????????) threatened President Tsai Ing-wen (?????¡Ó???) on social media, saying that she would not be allowed to enter Penghu during the Han Kuang military exercises.For the sake of opposing pension reform, Tsai Ting-hsi has ignored that the exercise is a simulation of war and resorted to alarmist sophistry, saying that what they are fighting for now is intended to protect the rights of future generations.Does he not know that the purpose of pension reform is to enable military personnel, civil servants and public-school teachers to have a sustainable pension system?Taking a closer look at the protests outside the Legislative Yuan, it is clear that pension reform is no longer just about domestic politics, and that certain ???red forces??? are lurking in background intent on fomenting domestic opposition and division, and promoting the idea that pension reform is intended to stigmatize public servants.National Civil Servant Association president Harry Lee (?????????), one of the protest leaders, said with tears in his eyes that a relative of a grassroots police officer was complaining that if the 18 percent preferential interest rate on savings for public servants is abolished, her husband would only have a few thousand New Taiwan dollars left.However, what he did not say was that police officers receive the basic pension pay and that the government has set a minimum monthly payment of NT$31,280 for civil servants. That minimum for civil servants is the maximum that an ordinary private employee would receive.",1
149,Editorials,"President Tsai Ing-wen (?????¡Ó???) has announced that a Mass Rapid Transit (MRT) system is to be built in Changhua County. With every city and county demanding an MRT or light-rail system, Tainan, Hsinchu, Keelung and Changhua are next in line to join Taipei, Kaohsiung, Taoyuan and Taichung. This development is no different from the 1990s policy to open many new universities, which has resulted in a higher education crisis.People who have traveled on the Taipei MRT are surely impressed by its convenience and the crowds. It seems that having an MRT is the symbol of a fashionable city. Having experienced the ???convenience??? and seen the ???profits??? made by its operator, Taipei Rapid Transit Corp, city mayors and county commissioners across the nation want to emulate this success.However, the Taipei MRT???s 20-year history shows that although the average number of people using the system last year exceeded 2 million per day, the transportation side of the business was still losing money. Had it not been for other sources of revenue, such as advertising and rent, there would not have been enough money to cover the system???s operating costs.Taipei and New Taipei City have a population of more than 6.5 million, and combined with tourists and business visitors, these people account for the average daily transport volume of more than 2 million passengers.Kaohsiung has a population of less than 3 million, and after 10 years in operation, the transportation side of its MRT business is still losing money. Let us not even mention Changhua County, with a population of less than 1.3 million. If local populations continue to grow, it might make sense, but are not all Taiwanese feeling the pressure of the nation???s low birthrate?Those who want to use transportation infrastructure to bolster the local economy might have mistakenly simplified the relationship between cause and effect. Transportation infrastructure is indeed an important component of economic development, but it is not certain to create economic development. Other key components are an available workforce and a conducive industrial environment.Transportation infrastructure alone without supporting measures run the risk of resulting in an empty and unused MRT system.Yang Chih-yuan is an assistant professor at National Taiwan Normal University.Translated by Lin Lee-Kai",1
150,Editorials,"Troubled by something deeply unethical going on at work? Or maybe you are plotting to leak sensitive information on the company that just sacked you? Either way, you best think twice before making your next move because an all-seeing artificial intelligence (AI) might just be analyzing every e-mail you send, every file you upload, every room you scan into ??? even your coffee routine.The latest wave of cyberdefense technology employs machine learning to monitor use of the ever-expanding number of smart household objects connected to the Internet of Things ??? shutting down hackers before they have broken into corporate databases or whistle-blowers before they have forwarded information to the media.One of the leading proponents is cyberdefense company Darktrace, founded in 2013 by former British intelligence officers in Cambridge and today featuring 370 employees in 23 offices globally. The company is targeting growth in the Asia-Pacific region, where regional head Sanjay Aurora is promoting Darktrace???s Enterprise Immune System at the CeBIT Australia conference in Sydney on May 23.In an interview ahead of the conference, Aurora told the Guardian that the Internet of Things, the interconnected everyday devices such as the smart refrigerator, offers more vulnerabilities to be hacked than ever before ??? but also more ways to scan for threats.???In newspapers there is not a single day where we don???t read about an organization being breached,??? he said. ???At a time when even coffee machines have IP [Internet protocol] addresses, many people in security teams don???t so much as have visibility of the network.???Where cybersecurity normally functions as a barrier to keep out previously identified threats, Aurora said Darktrace technology behaves more like a human immune system.???Once you understand the devices and people, once you notice subtle changes within the network, you establish a pattern of life, and whether it is lateral movement or unusual activity ??? maybe an employee using a device they don???t normally use, or a fingerprint scanner acting unusually ??? the immune system notices and takes action, detecting these things in network before they become a headline,??? he said.Darktrace???s package includes a 3D topographical real-time ???threat visualizer??? that monitors everyday network activity and the responsive Antigena system, which can decide for itself to slow systems down to give security personnel time to stop a potential breach, cut off network access to particular individuals, or mark specific e-mails for further investigation.???Let???s say an employee is made redundant and becomes a potential information threat, the machine will intelligently determine what is the problem, assess the mathematical threat and then decide what action is to be taken,??? Aurora said.Darktrace says its Enterprise Immune System has reported more than 30,000 serious cyberincidents in more than 2,000 deployments across the world, offering examples such as an employee who was disgruntled about their company???s Brexit plans and was caught before the person could leak the information.FINGERPRINTSAnother case was put forward by Darktrace cofounder Poppy Gustafsson at the TechCrunch Disrupt conference in London last year.Gustafsson cited the case of attackers sending a truck into the warehouse of a luxury goods manufacturer after uploading their fingerprints to the company???s system to bypass the biometric scanners.",1
151,Editorials,"He has a lakeside villa valued at more than US$3 million, two Mercedes sedans in the garage, and a butler who fluffs his pillows and shines his shoes.However, Liu Xiyu, a real-estate executive in Beijing, still lacks the convenience he says he most wants in life: A US green card.Fed up with China???s rampant air pollution and the rigid school system his children endure, Liu last year pledged US$500,000 to a California housing development in hopes of obtaining a special visa for investors, known as EB-5, that would allow his family to spend more time in the US.Now, US President Donald Trump???s vow to tighten immigration policies and new scrutiny after a series of fraud and abuse scandals have spurred thousands of Chinese applicants like Liu to seek a visa before more stringent requirements can be put in place.Lawmakers were discussing the EB-5 program last week as they tried to reach a deal on the budget and avert a government shutdown.???I???m trying to help America???s economy grow,??? Liu, 47, said. ???I don???t understand why anyone would be opposed.???Wealthy Chinese families eager to move money out of China have rushed to obtain green cards through the EB-5 program in recent years.Last year, three-quarters of the roughly 10,000 investor visas issued went to Chinese.The program, sometimes referred to as a ???golden visa,??? has helped attract billions of US dollars of investment in hotels, highways, casinos and other projects in the US.It has also prompted concerns about abuse, including a US$50 million fraud investigation in Los Angeles this month involving more than 100 people, including Chinese.The program poses a dilemma for Trump, who has vowed to tighten immigration policies, but who is also eager to promote job creation.Since taking office, he has sought better economic relations with China after assailing the country during the presidential campaign, and as businesspeople, Trump and his son-in-law and adviser, Jared Kushner, embraced the EB-5 program to help finance real-estate projects.In China, many visa applicants hope that Trump will examine the issue from a business perspective.They say they agree with the US president???s call for stricter immigration policies, but they have said he should focus on undocumented immigrants, not investors.Li Jing, an entrepreneur from Beijing who applied for an investor visa two years ago, said it was unfair that the US permitted undocumented immigrants to live in the country, but turned away Chinese investors seeking visas through legal means.Li invested US$500,000 in a highway project in Georgia, hoping to obtain a green card so she could join her son, who is studying at a military academy in the state.She said a booming real-estate market in Chinese cities was making it easier for families to sell homes and use the money to invest.???The most important thing is education for the kids,??? she said. ???Chinese parents are willing to spend anything. They???re trying to give the next generation the best they can provide.???The EB-5 program, created in 1990, allows foreigners and their immediate relatives to apply for permanent residency in the US if they invest US$500,000 in projects that create at least 10 jobs in rural regions or areas with high unemployment. They can also become eligible by investing US$1 million in projects in other areas.",1
152,Sports,"Antonio Conte on Sunday warned Chelsea not to take the English Premier League title for granted after the leaders cleared a major hurdle with a 3-0 win at Everton.Conte???s side consolidated their position on top of the table thanks to a steely display at Goodison Park, but second-placed Tottenham Hotspur remain hot on their heels.Pedro???s brilliant strike, then goals from Gary Cahill and Willian secured Chelsea???s fourth win in their past five league games, sparking jubilant celebrations from Conte and his players.With four matches remaining, Chelsea have a four-point advantage over Spurs and Mauricio Pochettino???s side can temporarily trim that gap to one point if they win at West Ham United on Friday, before the leaders host Middlesbrough the following Monday.Conte knows it would only take one slip to give Tottenham real hope of overhauling them and he cautioned his players against thinking the race is over, even if they do have an easier run-in than Spurs.???It is a great win, but at this part of the season every win is a great win for us,??? Conte said. ???For this reason we must celebrate in the right way, with my players, with the staff, with our fans. We have to have great enthusiasm and great patience, because we are having a great season, but to become a fantastic season we must win [the title]. The message to the players was not words, only hugs and enthusiasm. Now it???s important for us to prepare the right way for the next game. If we don???t win against Middlesbrough then you lose this great win.???On paper Chelsea appear to have a smooth path to the title as, following the clash with lowly Middlesbrough, they face West Bromwich Albion, Watford and relegated Sunderland.Conte tried his best not to look too far ahead, but even the cautious Italian could not completely hide his joy at a result that moved Chelsea a step closer to being crowned champions in his first season.???For sure it???s a great result for us. To win at Everton is not easy. My players showed me great patience to wait for the right moment to hit,??? Conte said.???It was important to keep the clean sheet after a few games without one. That???s good for our confidence. We finished a crucial week very well,??? he said. ???We all know there is this part of the season that is more important. We are having a fantastic season, but we must be calm.???After winning their previous eight home Premier League games, Everton were by far the strongest opponents left on Chelsea???s schedule and for 60 minutes they lived up to that billing.In the end, they crumbled under the pressure of Chelsea???s relentless probing and Everton manager Ronald Koeman admitted the Blues have the look of champions.Asked if Chelsea have title quality, Koeman said: ???Yes, especially in the last 30 minutes. They are confident in having a good defense.??????They wait for chances and are really clinical. Without playing on the highest level, they still won the game because they have that attacking quality,??? he said. ???One of the most difficult things is to create chances because they have a difficult system to play against. When they get a little more space they kill the game.???",1
153,Sports,"Tottenham Hotspur???s Belgian defender Jan Vertonghen on Sunday said the pressure is all on English Premier League leaders Chelsea after his side kept their title hopes alive with a 2-0 win over Arsenal.A goal by Dele Alli and a penalty from leading scorer Harry Kane kept the gap between Spurs and Chelsea to four points with four matches remaining.???The pressure is on Chelsea. One loss [for them] and a win for us and the gap will just be a point,??? Vertonghen told Sky Sports.Vertonghen, who led the defense superbly alongside compatriot Toby Alderweireld, said Spurs had been hungrier for victory, which also ensured they will finish above Arsenal for the first time in 22 years.???It was a massive game in so many different ways,??? he said. ???We showed from the start we wanted to win more than them and that we want to stay in the title race. It was a great performance throughout the team, from Hugo [Lloris] in goal to Harry [Kane].???Tottenham manager Mauricio Pochettino said it had been a ???fantastic afternoon.??????To win against Arsenal in the last derby at White Hart Lane, it was emotional for everyone,??? said the 45-year-old Argentine, whose team faded in pursuit of Leicester City in last season???s title race. ???Now we can say that we are more mature. Today was another chance to see the team learning and improving. It is so important now to try and win trophies, that is our aim. I think still we are in the race.???Arsenal manager Arsene Wenger dismissed the significance of Spurs finishing above his side in the table.???Mathematically it has to happen once,??? the Frenchman told Sky Sports. ???We are not happy with it, but we don???t compare ourselves to Spurs, we compare ourselves to where we want to be.???Kane for his part was ecstatic at the result.???Incredible,??? Kane told Sky Sports. ???We obviously wanted to finish the last north London derby here on a high note and we did that. We worked hard, we created the better chances, what a day. The fans having bragging rights is just an added bonus.???Arsenal goalkeeper Petr Cech was devastated and said the defeat could have a major impact on the side???s hopes of making the UEFA Champions League next season.???I am very disappointed. This is not the game to lose,??? the Czech said.",1
154,Sports,"Rafael Nadal on Sunday hailed a ???dream start??? to his clay-court season after romping to his 10th Barcelona Open title with a 6-4, 6-1 win over Austria???s Dominic Thiem.The Spaniard also claimed his 10th title at the Monte Carlo Masters the previous weekend as he gears up to go for his 10th French Open title later this month.???It is two consecutive weeks winning, in Monte Carlo and here, two special tournaments for me, it is a dream start on clay,??? Nadal said. ???It means a lot for me to reach No. 10 here in Barcelona, in front of the people of my club, I am very happy and emotional.???Nadal won in Barcelona between 2005 and 2009, 2011 and 2013 and in the past two years.The 14-time Grand Slam champion also looks like the man to beat at Roland Garros after winning on a Barcelona court named after him and where he did not drop a set all week.???I thank the club and its members for putting my name on this court. It means a lot to me,??? Nadal said.Nadal has now won 19 straight sets, but Thiem was the toughest opponent he has faced on clay.Thiem had shocked world No. 1 Andy Murray in the semi-finals and showed some early resistance.The world No. 9 even had his only break point of the match in the first game, but Nadal, returning to top form at age 30, upped his intensity at the crucial moment and Thiem crumbled with three errors in the 10th game to give away the only break of the set.???The first set was vitally important,??? Nadal said. ???It was hard. I was having a few more chances than him, but it was very even and that is why I celebrated with so much energy at the end.???The second set was a procession as Thiem???s frustration at his inability to break through Nadal???s defenses saw him consistently fire long.However, Thiem was not too disheartened after losing out to the King of Clay after what had been a productive week.???I really enjoyed the week in Barcelona,??? Thiem said. ???There are worse things than to lose against the greatest player on clay ever.???",1
155,Sports,"Valtteri Bottas waited 81 races for his first Formula One win to come along, but it will get easier for the Finn after Sunday???s success in Russia, according to former world champion Niki Lauda.???To win the first grand prix ??¡Â is always the most difficult one,??? the retired triple champion and non-executive chairman of Bottas??? Mercedes team said. ???This I know out of my own experience. So every one that comes next, for him his life is easier. He has proven that he can win.??????As soon as you win the first grand prix, a big load comes off,??? added the Austrian, who was surprised Ferrari did not win in Sochi given their race pace and having both cars starting on the front row.Instead, Bottas roared past both Sebastian Vettel and Kimi Raikkonen to seize the lead into the first corner.The Finn has had to wait longer than most to scale the top step of the podium, but the man he replaced in January, last year???s world champion Nico Rosberg, took his first victory in his 111th grand prix.Fellow Finn Mika Hakkinen, world champion in 1998 and 1999 with McLaren, took 96 races.Only last week, reporters were asking Bottas about having to accept ???team orders??? and help triple champion teammate Lewis Hamilton in the title battle against Vettel, but it looks different already.Bottas is now just 10 points adrift of Hamilton and, having started the season as an emergency stopgap, can now legitimately see himself in the championship mix.That situation poses another headache for Hamilton, but it is one that Mercedes are relaxed about  managing. They do not expect the relationship to turn sour as it did between the Briton and Rosberg.???He [Bottas] took up that risky move to be Lewis Hamilton???s teammate, to take over the reigning world champion???s car, and I think that he has done a very good job,??? team boss Toto Wolff said. ???The relationship between the two is very intact, Lewis was one of the first to congratulate Valtteri on his first race victory and I think that shows the respect that they have towards each other. Nevertheless, both of them are fierce competitors, and they will want to win races and fight for a championship, but I don???t think it will affect the relationship and the dynamics within the team like it did in the last years between Nico and Lewis.???",1
156,Sports,"It seems nothing can stop Isaiah Thomas this post-season ??? be it pains big or small.The All-Star led the Celtics to a first-round win over the Chicago Bulls in a haze after learning the day before that series that his younger sister, Chyna Thomas, had died in a car accident outside of his native Tacoma, Washington.That pain persisted on the eve of Boston???s second-round pairing with the Washington Wizards, when he flew across the country to attend her funeral.Then Sunday???s game brought the latest dose of adversity, when he had one of his front teeth dislodged after an early collision, but as he has done all post-season, he continued to find a way to push through it.Thomas had 33 points and nine assists as the Celtics made 19 three-pointers to beat the Wizards 123-111 and take a 1-0 lead in their Eastern Conference semi-final series.???I got in at 4am,??? Thomas said of his second flight to Washington in two weeks. ???It???s tough, but it???s the playoffs, so there are no excuses. I decided to play and I just tried to give it all for my team.???The Celtics star flew to the funeral with Boston president of basketball operations Danny Ainge and assistant coach Jerome Allen.During player introductions, Thomas pointed to the TD Garden rafters when his name was called.Al Horford added 21 points, 10 rebounds and nine assists. Jae Crowder finished with career playoff-high 24 points.Game 2 is scheduled for today.The Wizards were more energetic at the outset, jumping out to a 16-0 advantage and leading by as many as 17 points, but the Celtics rallied with Thomas briefly sidelined while getting his tooth repositioned in the second quarter.???I didn???t know if we???d ever score and I didn???t know if they???ve ever stop scoring,??? Celtics coach Brad Stevens said.Bradley Beal led Washington with 27 points, while John Wall added 20 points and 16 assists.Washington starter Markieff Morris played just 11 minutes before leaving with a sprained left ankle in the second quarter after landing awkwardly on Horford???s foot.The Wizards also had a tough time responding after Stevens started Marcus Smart in place of Gerald Green in the third quarter.???They were a little more aggressive than we were,??? Beal said. ???Our defense slipped a little. We lacked some IQ and focus.???After the Wizards??? early scoring flurry, Thomas lost his tooth, but initially kept playing.He found it during a timeout and started the second quarter in the locker room.His teammates went on a 13-2 run without him to cut into Washington???s lead. Boston led by 15 by the end of the third.",1
